,year,oil_index,mineral_index,country,oil_prod,oil_ex,oil_im,oil_reim,oil_reex,mineral_ex,mineral_im,mineral_reim,mineral_reex,Administrative fees for government services,Bonuses,Compulsory transfers to government (infrastructure and other),Customs and other import duties,Delivered/paid directly to government,Delivered/paid to state-owned enterprise(s),Dividends,Emission and pollution taxes,Excise taxes,"Extraordinary taxes on income, profits and capital gains","Fines, penalties, and forfeits",From government participation (equity),From state-owned enterprises,"General taxes on goods and services (VAT, sales tax, turnover tax)",Licence fees,Motor vehicle taxes,"Ordinary taxes on income, profits and capital gains",Other rent payments,Other taxes payable by natural resource companies,Profits of natural resource export monopolies,Rent,Revenues not classified,Royalties,Sales of goods and services by government units,Social security employer contributions,Taxes on exports,Taxes on payroll and workforce,Taxes on property,Voluntary transfers to government (donations),Withdrawals from income of quasi-corporations,total_revenue,oil_prod_USD,ratio_rev_oilprod
180,2010,79.61,202.3197645,Peru,159.3588027,505068044,2689561504,0,0,10263961076,73809829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8716090,0,3010091532,0,0,0,0,0,1339340031,0,0,0,0,0,0,0,4358147653,4630592313,0.941164188
181,2011,111.26,229.7191412,Peru,155.3219178,574246159,3664943458,0,0,13165155514,93811755,0,0,0,0,0,0,0,0,0,0,0,160475839,0,0,0,0,13160928,0,3640693675,0,0,0,0,0,2070026570,0,0,0,0,0,0,0,5884357012,6307607550,0.932898403
182,2012,111.63,191.0341399,Peru,155.9819563,578624165,3675693479,0,0,13375127394,32890274,0,0,0,0,0,0,0,0,0,0,0,590923771,0,0,0,0,12617772,0,2997833285,0,0,0,0,0,1879478413,0,0,0,0,0,0,0,5480853241,6355477010,0.862382671
183,2013,108.56,182.901893,Peru,170.515537,537895524,3355453227,0,0,11516606265,52536564,0,0,0,0,0,0,0,0,0,0,0,426948812,0,0,0,0,11238107,0,3017481964,0,0,0,0,0,2055817921,0,0,0,0,0,0,0,5511486804,6756575844,0.815721888
184,2014,98.97,164.3753612,Peru,175.6243699,496337220,3017554057,0,0,10558451342,160228567,0,0,0,0,0,0,0,0,0,0,0,299118649,0,0,0,0,8905102,0,2082270845,0,0,0,0,0,1803717556,0,0,0,0,0,0,0,4194012152,6344263519,0.661071555
185,2007,72.44,183.3122475,Republic of the Congo,214.1707397,5294576197,3585,0,0,0,1390982,0,0,0,13491208,0,0,36164544,0,0,0,0,0,0,0,0,0,0,0,8834834,0,0,0,0,0,285513234,2793617,0,0,0,0,0,0,346797437,5662802860,0.061241305
186,2008,96.94,169.0130834,Republic of the Congo,240.2704918,7486777223,23459,0,0,15610,304020,0,0,0,0,0,0,53035249,3913350813,0,0,0,0,0,0,0,0,0,0,51392336,0,0,0,0,0,341257671,3241245,0,0,0,0,0,0,4362277314,8501514838,0.51311765
187,2009,61.74,136.5303027,Republic of the Congo,274.860274,5550099194,8491727,0,0,10629,471868,0,0,0,3081026,0,0,35628423,1858465340,0,0,0,0,0,0,0,0,0,0,53120705,0,0,0,0,0,221413895,5218473,0,0,0,0,0,0,2176927862,6194003761,0.351457304
188,2010,79.61,202.3197645,Republic of the Congo,312,4481123697,19207966,0,0,9302,451042,0,0,0,0,0,1086776,143312315,2819451533,0,0,0,0,383657,0,0,16517875,0,0,49786319,0,0,0,0,0,82619673,1479168,0,0,0,0,0,0,3114637316,9065986800,0.343551936
189,2011,111.26,229.7191412,Republic of the Congo,299,10496449391,10214,0,0,6155,4585979,0,0,0,34039400,3780811,0,206858052,5105082698,0,0,0,0,3759513,12666244,0,12439329,441034,0,77190931,0,0,0,0,529620,1769523,5373872,0,0,0,0,0,0,5463931027,12142360100,0.44998921
190,2012,111.63,191.0341399,Republic of the Congo,292,5779548991,18570,0,0,194517,2018996,0,0,0,39630000,8189000,0,158001000,5808440000,0,0,0,0,243000,0,0,12667000,1200000,0,60610000,0,0,0,0,0,1714000,3986000,0,0,0,0,0,0,6094680000,11897525400,0.512264508
191,2013,108.56,182.901893,Republic of the Congo,270,7666889629,0,0,0,493096,499082,0,0,0,61088000,2981000,0,139410000,5444457198,0,0,0,0,9171000,0,0,41786000,430000,0,76179000,0,1935000,0,0,0,2428000,5070000,0,0,0,2276000,0,0,5787211198,10698588000,0.540932242
192,2003,28.85,60.70570998,Sao Tome and Principe,NA,0,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
193,2004,38.26,81.70468166,Sao Tome and Principe,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
194,2005,54.57,100,Sao Tome and Principe,NA,0,0,0,0,0,0,0,0,0,37764997,1.00E+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37864997,NA,NA
